Agency Name,State Name [District] Latest available year,State Name [District] 2018-19,County Number [District] 2018-19,County Name [District] 2018-19,Total Number Operational Schools [Public School] 2018-19,Total Number Operational Charter Schools [Public School] 2018-19,Agency Type [District] 2018-19,School District Level Code (SCHLEV) [District Finance] 2018-19,Locale [District] 2018-19,Prekindergarten offered [District] 2018-19,Kindergarten offered [District] 2018-19,Agency Level (SY 2017-18 onward) [District] 2018-19,Total Students All Grades (Excludes AE) [District] 2018-19,Individualized Education Program Students [District] 2018-19,Limited English Proficient (LEP) / English Language Learners (ELL) [District] 2018-19,Full-Time Equivalent (FTE) Teachers [District] 2018-19,Pupil/Teacher Ratio [District] 2018-19,Total Current Expenditures - Instruction (TCURINST) per Pupil (V33) [District Finance] 2018-19,Total Current Expenditures - Support Services (TCURSSVC) per Pupil (V33) [District Finance] 2018-19,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2018-19,Long Term Debt - Outstanding Beginning of FY (_19H) [District Finance] 2018-19,Short Term Debt - Outstanding Beginning of FY (_61V) [District Finance] 2018-19
KING GEO CO PBLC SCHS,Virginia,VIRGINIA,51099,King George County,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,4477,595,36,286.29,15.64,6405,3698,10759,9197000,0
KING WILLIAM CO PBLC SCHS,Virginia,VIRGINIA,51101,King William County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,2227,298,23,150.80,14.77,7328,4029,12214,1127000,0
LANCASTER CO PBLC SCHS,Virginia,VIRGINIA,51103,Lancaster County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,43-Rural: Remote,1-Yes,1-Yes,Other,1136,156,5,93.37,12.17,7516,6285,15227,0,0
LEE CO PBLC SCHS,Virginia,VIRGINIA,51105,Lee County,11,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,3254,541,7,267.64,12.16,6698,4461,12194,2108000,0
LEXINGTON CITY PBLC SCHS,Virginia,VIRGINIA,51678,Lexington city,2,0,1-Regular local school district that is NOT a component of a supervisory union,01-Elementary school system only,32-Town: Distant,2-No,1-Yes,Elementary,522,58,20,38.11,13.70,6966,3548,14004,0,0
LOUDOUN CO PBLC SCHS,Virginia,VIRGINIA,51107,Loudoun County,92,2,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,81906,9296,9085,5784.22,14.16,9828,4797,17167,876370000,0
LOUISA CO PBLC SCHS,Virginia,VIRGINIA,51109,Louisa County,6,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,4906,864,105,366.57,13.38,7296,4450,13669,23468000,0
LUNENBURG CO PBLC SCHS,Virginia,VIRGINIA,51111,Lunenburg County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,43-Rural: Remote,1-Yes,1-Yes,Other,1551,202,90,113.56,13.66,6632,3877,11531,8154000,0
LYNCHBURG CITY PBLC SCHS,Virginia,VIRGINIA,51680,Lynchburg city,18,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,8263,1316,177,593.21,13.93,7634,4748,13581,0,0
MADISON CO PBLC SCHS,Virginia,VIRGINIA,51113,Madison County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1690,162,15,124.50,13.57,7529,4437,13003,0,0
MANASSAS CITY PBLC SCHS,Virginia,VIRGINIA,51683,Manassas city,11,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,7723,969,2386,504.13,15.32,8053,4900,14935,7358000,0
MANASSAS PARK CITY PBLC SCHS,Virginia,VIRGINIA,51685,Manassas Park city,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,3724,457,1231,250.94,14.84,6759,3751,11735,0,0
MARTINSVILLE CITY PBLC SCHS,Virginia,VIRGINIA,51690,Martinsville city,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,1942,215,115,145.92,13.31,7494,5153,13855,0,0
MATHEWS CO PBLC SCHS,Virginia,VIRGINIA,51115,Mathews County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1064,171,18,92.10,11.55,7208,5159,13924,1007000,0
MECKLENBURG CO PBLC SCHS,Virginia,VIRGINIA,51117,Mecklenburg County,9,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,4215,499,45,339.71,12.41,6581,3934,13659,56928000,0
MIDDLESEX CO PBLC SCHS,Virginia,VIRGINIA,51119,Middlesex County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1222,224,12,92.85,13.16,7408,5244,14642,12413000,0
MONTGOMERY CO PBLC SCHS,Virginia,VIRGINIA,51121,Montgomery County,21,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,9924,1048,325,743.41,13.35,6573,4273,12274,135240000,0
NELSON CO PBLC SCHS,Virginia,VIRGINIA,51125,Nelson County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1807,283,40,140.62,12.85,8006,5844,14993,13036000,0
NEW KENT CO PBLC SCHS,Virginia,VIRGINIA,51127,New Kent County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,3306,429,24,204.00,16.21,6023,3604,10616,37246000,0
NEWPORT NEWS CITY PBLC SCHS,Virginia,VIRGINIA,51700,Newport News city,45,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,12-City: Mid-size,1-Yes,1-Yes,Other,28652,3684,1553,1786.87,16.03,6682,4390,12767,0,0
NORFOLK CITY PBLC SCHS,Virginia,VIRGINIA,51710,Norfolk city,52,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,12-City: Mid-size,1-Yes,1-Yes,Other,30087,4321,841,2201.65,13.67,7567,4042,12770,0,0
NORTHAMPTON CO PBLC SCHS,Virginia,VIRGINIA,51131,Northampton County,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,43-Rural: Remote,1-Yes,1-Yes,Other,1607,254,146,126.67,12.69,6793,5042,13036,5337000,0
NORTHUMBERLAND CO PBLC SCHS,Virginia,VIRGINIA,51133,Northumberland County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1315,206,24,103.08,12.76,8244,5326,14990,0,0
NORTON CITY PBLC SCHS,Virginia,VIRGINIA,51720,Norton city,2,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,842,130,6,55.10,15.28,5587,3061,10071,8558000,0
NOTTOWAY CO PBLC SCHS,Virginia,VIRGINIA,51135,Nottoway County,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,2043,254,78,149.99,13.62,6108,4159,11452,0,0
ORANGE CO PBLC SCHS,Virginia,VIRGINIA,51137,Orange County,11,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,5041,566,159,359.22,14.03,6532,3901,11852,0,0
PAGE CO PBLC SCHS,Virginia,VIRGINIA,51139,Page County,9,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,3331,456,16,230.12,14.48,6673,3744,12126,40691000,0
PATRICK CO PBLC SCHS,Virginia,VIRGINIA,51141,Patrick County,7,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,2600,412,49,185.95,13.98,6458,3338,10589,0,0
PETERSBURG CITY PBLC SCHS,Virginia,VIRGINIA,51730,Petersburg city,7,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,4194,475,172,296.55,14.14,6730,5166,12821,0,0
PITTSYLVANIA CO PBLC SCHS,Virginia,VIRGINIA,51143,Pittsylvania County,20,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,8845,1107,201,626.76,14.11,6358,3621,10735,0,0
POQUOSON CITY PBLC SCHS,Virginia,VIRGINIA,51735,Poquoson city,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,2119,242,4,157.11,13.49,6784,3825,11681,0,0
PORTSMOUTH CITY PBLC SCHS,Virginia,VIRGINIA,51740,Portsmouth city,24,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,14006,1712,107,946.91,14.79,6839,4500,12511,0,0
POWHATAN CO PBLC SCHS,Virginia,VIRGINIA,51145,Powhatan County,6,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,4317,576,25,301.13,14.34,6618,4093,11836,76203000,0
PRINCE EDWARD CO PBLC SCHS,Virginia,VIRGINIA,51147,Prince Edward County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,33-Town: Remote,1-Yes,1-Yes,Other,2079,278,35,160.82,12.93,7053,4173,12591,6653000,0
PRINCE GEORGE CO PBLC SCHS,Virginia,VIRGINIA,51149,Prince George County,7,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,6360,851,83,420.15,15.14,6314,3717,10858,0,0
PRINCE WILLIAM CO PBLC SCHS,Virginia,VIRGINIA,51153,Prince William County,94,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,90843,11349,15001,5594.16,16.24,6616,4446,13917,865535000,0
PULASKI CO PBLC SCHS,Virginia,VIRGINIA,51155,Pulaski County,9,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,4081,653,42,293.11,13.92,6648,4272,11933,0,0
RADFORD CITY PBLC SCHS,Virginia,VIRGINIA,51750,Radford city,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,1646,211,13,120.19,13.69,6645,3572,11199,0,0
RAPPAHANNOCK CO PBLC SCHS,Virginia,VIRGINIA,51157,Rappahannock County,2,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,802,114,29,68.95,11.63,9436,5685,16057,2005000,0
RICHMOND CITY PBLC SCHS,Virginia,VIRGINIA,51760,Richmond city,54,2,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,12-City: Mid-size,1-Yes,1-Yes,Other,24763,3961,2041,1545.91,16.02,8412,5498,15183,178852000,0
RICHMOND CO PBLC SCHS,Virginia,VIRGINIA,51159,Richmond County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1314,163,35,85.50,15.37,6855,4015,12509,14987000,0
ROANOKE CITY PBLC SCHS,Virginia,VIRGINIA,51770,Roanoke city,26,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,13749,2213,1199,898.26,15.31,7877,5137,14752,89422000,0
ROANOKE CO PBLC SCHS,Virginia,VIRGINIA,51161,Roanoke County,28,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,22-Suburb: Mid-size,1-Yes,1-Yes,Other,14121,2285,349,1023.13,13.80,6941,3203,11598,77873000,0
ROCKBRIDGE CO PBLC SCHS,Virginia,VIRGINIA,51163,Rockbridge County,6,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,2842,392,31,221.68,12.82,7271,3993,12767,38971000,0
ROCKINGHAM CO PBLC SCHS,Virginia,VIRGINIA,51660,Rockingham County,23,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,11913,1174,863,813.85,14.64,7272,4148,13581,79062000,5771000
RUSSELL CO PBLC SCHS,Virginia,VIRGINIA,51167,Russell County,13,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,3785,580,9,264.53,14.31,6588,3639,11403,11286000,0
SALEM CITY PBLC SCHS,Virginia,VIRGINIA,51775,Salem city,6,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,22-Suburb: Mid-size,1-Yes,1-Yes,Other,3958,577,127,255.37,15.50,7099,3428,11982,0,0
SCOTT CO PBLC SCHS,Virginia,VIRGINIA,51169,Scott County,14,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,22-Suburb: Mid-size,1-Yes,1-Yes,Other,3533,614,6,244.49,14.45,6706,3359,11261,2873000,0
SHENANDOAH CO PBLC SCHS,Virginia,VIRGINIA,51171,Shenandoah County,10,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,6030,868,384,438.45,13.75,7202,4078,12591,15782000,0
SMYTH CO PBLC SCHS,Virginia,VIRGINIA,51173,Smyth County,14,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,4332,655,27,310.94,13.93,6756,3252,11468,24359000,0
SOUTHAMPTON CO PBLC SCHS,Virginia,VIRGINIA,51175,Southampton County,7,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,2869,386,6,179.34,16.00,6197,4606,12243,12946000,0
SPOTSYLVANIA CO PBLC SCHS,Virginia,VIRGINIA,51177,Spotsylvania County,34,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,23668,3125,1214,1437.35,16.47,6647,4144,13247,156076000,1352000
STAFFORD CO PBLC SCHS,Virginia,VIRGINIA,51179,Stafford County,32,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,29270,3510,1738,1707.67,17.14,6533,3396,11814,291684000,0
STAUNTON CITY PBLC SCHS,Virginia,VIRGINIA,51790,Staunton city,6,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,2727,405,40,207.37,13.15,8242,4281,13989,0,0
SUFFOLK CITY PBLC SCHS,Virginia,VIRGINIA,51800,Suffolk city,21,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,14265,1874,63,993.07,14.36,7131,3374,12547,0,0
SURRY CO PBLC SCHS,Virginia,VIRGINIA,51181,Surry County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,758,143,3,86.37,8.78,11493,8532,21339,0,0
SUSSEX CO PBLC SCHS,Virginia,VIRGINIA,51183,Sussex County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1074,165,10,82.37,13.04,8769,7816,18147,14317000,0
TAZEWELL CO PBLC SCHS,Virginia,VIRGINIA,51185,Tazewell County,14,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,5653,946,12,367.52,15.38,5685,3205,9744,9306000,1610000
VA BEACH CITY PBLC SCHS,Virginia,VIRGINIA,51810,Virginia Beach city,87,1,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,11-City: Large,1-Yes,1-Yes,Other,68624,8109,1263,4317.58,15.89,6938,4521,13330,0,0
WARREN CO PBLC SCHS,Virginia,VIRGINIA,51187,Warren County,9,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,31-Town: Fringe,1-Yes,1-Yes,Other,5298,697,135,367.21,14.43,6423,4111,11654,8206000,0
WASHINGTON CO PBLC SCHS,Virginia,VIRGINIA,51191,Washington County,16,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,7090,1191,51,499.14,14.20,6717,3782,11370,0,0
WAYNESBORO CITY PBLC SCHS,Virginia,VIRGINIA,51820,Waynesboro city,7,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,3032,351,125,207.84,14.59,7421,4072,13243,37832000,0
WEST POINT PBLC SCHS,Virginia,VIRGINIA,51101,West Point,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,31-Town: Fringe,1-Yes,1-Yes,Other,813,89,4,64.00,12.70,7700,4736,13411,659000,0
WESTMORELAND CO PBLC SCHS,Virginia,VIRGINIA,51193,Westmoreland County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1651,257,79,134.06,12.32,8026,4769,14657,1220000,0
WILLIAMSBURG-JAMES CITY PBLC SCHS,Virginia,VIRGINIA,51830,Williamsburg-James City County,16,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,23-Suburb: Small,1-Yes,1-Yes,Other,11666,1878,538,738.18,15.80,7619,4481,14034,0,0
WINCHESTER CITY PBLC SCHS,Virginia,VIRGINIA,51840,Winchester city,7,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,4357,618,823,339.88,12.82,8255,5003,14733,0,0
WISE CO PBLC SCHS,Virginia,VIRGINIA,51195,Wise County,13,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,5755,909,13,390.73,14.73,6029,2937,10537,55108000,0
WYTHE CO PBLC SCHS,Virginia,VIRGINIA,51197,Wythe County,13,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,4076,585,4,274.46,14.85,6584,3691,13214,22324000,0
YORK CO PBLC SCHS,Virginia,VIRGINIA,51199,York County,19,1,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,12750,1499,375,843.63,15.11,6667,3828,12397,66025000,0