Year,Level Code,Division,End-of-Year Average Daily Membership,School-Level Expenditures Per-Pupil Federal,School-Level Expenditures Per-Pupil State,School-Level Expenditures Per-Pupil Subtotal,Division-Level Expenditures Per-Pupil Federal,Division-Level Expenditures Per-Pupil State,Division-Level Expenditures Per-Pupil Subtotal,Total Per-Pupil Expenditures,Per-Pupil Exclusions,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds
2018 - 2019,DIV,Wythe County Public Schools,4035.7,457,6726,7183,0,3064,3064,10247,13954342,41352273,457,9790
2018 - 2019,DIV,York County Public Schools,12898.12,969,6221,7190,28,2893,2921,10111,21256857,130415681,997,9114
2019 - 2020,DIV,Accomack County Public Schools,5104.4,603,7209,7812,156,2592,2748,10559,5642575,53898169,759,9801
2019 - 2020,DIV,Albemarle County Public Schools,14295.67,325,9394,9718,88,3372,3460,13178,45732485,188390730,413,12766
2019 - 2020,DIV,Alexandria City Public Schools,15999.05,308,12570,12879,310,4552,4862,17741,28360481,283832857,618,17122
2019 - 2020,DIV,Alleghany County Public Schools,1992.34,625,7096,7721,39,4185,4224,11945,3704707,23798021,664,11281
2019 - 2020,DIV,Amelia County Public Schools,1707.91,114,6581,6695,315,2933,3248,9943,1418390,16981263,429,9514
2019 - 2020,DIV,Amherst County Public Schools,4082.29,422,7632,8054,96,2800,2896,10950,4629906,44701592,518,10432
2019 - 2020,DIV,Appomattox County Public Schools,2257.02,445,6528,6973,53,2685,2738,9711,1712375,21918334,498,9213
2019 - 2020,DIV,Arlington County Public Schools,28078.8,126,11887,12013,273,6701,6973,18986,164017547,533112814,399,18588
2019 - 2020,DIV,Augusta County Public Schools,10256.67,338,6855,7193,331,2825,3156,10349,21693450,106141936,669,9680
2019 - 2020,DIV,Bath County Public Schools,529.71,523,11353,11876,53,5379,5432,17309,974800,9168594,576,16732
2019 - 2020,DIV,Bedford County Public Schools,9474.34,411,7219,7630,54,3027,3081,10711,27536220,101483145,465,10246
2019 - 2020,DIV,Bland County Public Schools,689.33,153,6924,7077,0,4083,4083,11160,648553,7693249,153,11007
2019 - 2020,DIV,Botetourt County Public Schools,4669.78,343,8235,8578,10,2314,2323,10901,4036191,50906541,353,10549
2019 - 2020,DIV,Bristol City Public Schools,2246.69,998,7503,8501,227,2330,2558,11059,5118304,24845791,1225,9833
2019 - 2020,DIV,Brunswick County Public Schools,1522.77,1417,7700,9116,95,4520,4615,13732,1751687,20910197,1512,12220
2019 - 2020,DIV,Buchanan County Public Schools,2664.95,1033,6989,8021,93,3618,3711,11732,4312078,31266045,1126,10607
2019 - 2020,DIV,Buckingham County Public Schools,2083.54,934,7718,8651,28,2383,2410,11062,2028196,23047454,962,10101
2019 - 2020,DIV,Buena Vista City Public Schools,874.82,678,7269,7947,29,3985,4014,11961,994721,10463984,707,11254
2019 - 2020,DIV,Campbell County Public Schools,7887.67,487,6605,7093,28,2983,3011,10104,8016542,79694449,515,9588
2019 - 2020,DIV,Caroline County Public Schools,4213.78,453,6436,6889,79,3143,3222,10111,3313532,42606672,532,9579
2019 - 2020,DIV,Carroll County Public Schools,3660.86,635,7252,7887,80,3180,3260,11148,8860592,40810292,715,10432
2019 - 2020,DIV,Charles City County Public Schools,601.4,736,8841,9577,37,5751,5788,15366,1455197,9240959,773,14592
2019 - 2020,DIV,Charlotte County Public Schools,1758.25,937,6969,7906,4,3368,3372,11279,4877834,19830657,941,10337
2019 - 2020,DIV,Charlottesville City Public Schools,4491.84,437,11180,11617,223,4989,5212,16828,9936281,75589521,660,16169
2019 - 2020,DIV,Chesapeake City Public Schools,41385.75,445,8211,8655,123,2734,2857,11512,50744132,476444199,568,10945
2019 - 2020,DIV,Chesterfield County Public Schools,61700.59,197,6151,6348,148,3516,3664,10012,218792456,617717188,345,9667
2019 - 2020,DIV,Clarke County Public Schools,1917.72,293,8141,8434,89,3429,3518,11952,4542284,22920053,382,11570
2019 - 2020,DIV,Colonial Beach Public Schools,637.84,916,6826,7743,0,2887,2887,10630,904223,6780021,916,9713
2019 - 2020,DIV,Colonial Heights City Public Schools,2850.92,436,9337,9773,50,3202,3252,13025,4933536,37132673,486,12539
2019 - 2020,DIV,Covington City Public Schools,1007.02,624,7108,7732,0,2349,2349,10081,1569948,10151808,624,9457
2019 - 2020,DIV,Craig County Public Schools,581.27,698,7215,7913,248,3160,3408,11320,826409,6580252,946,10375
2019 - 2020,DIV,Culpeper County Public Schools,8471.79,326,7648,7974,186,1861,2047,10021,22852791,84894289,512,9509
2019 - 2020,DIV,Cumberland County Public Schools,1290.91,790,7755,8545,30,3241,3271,11816,1159390,15253857,820,10996
2019 - 2020,DIV,Danville City Public Schools,5653.98,483,8274,8757,241,3639,3880,12637,12487808,71450969,724,11913
2019 - 2020,DIV,Dickenson County Public Schools,2043.01,562,6826,7388,258,3827,4085,11473,2776580,23439605,820,10653
2019 - 2020,DIV,Dinwiddie County Public Schools,4306.39,432,7865,8297,5,2565,2570,10868,7109995,46800576,437,10430
2019 - 2020,DIV,Essex County Public Schools,1304.57,865,7608,8474,0,3681,3681,12155,1490078,15856417,865,11289
2019 - 2020,DIV,Fairfax County Public Schools,188189.14,268,9902,10170,146,5485,5631,15800,368212527,2973458386,414,15387
2019 - 2020,DIV,Falls Church City Public Schools,2635.06,215,12413,12627,12,6201,6213,18840,3304530,49644957,227,18614
2019 - 2020,DIV,Fauquier County Public Schools,11123.05,373,8683,9056,5,3319,3324,12380,13695380,137701058,378,12002
2019 - 2020,DIV,Floyd County Public Schools,1908.01,581,6963,7545,0,3453,3453,10997,2802343,20982894,581,10416
2019 - 2020,DIV,Fluvanna County Public Schools,3548.01,299,7251,7550,35,2953,2988,10538,4162953,37389300,334,10204
2019 - 2020,DIV,Franklin City Public Schools,1077.83,1240,7994,9234,78,3581,3659,12893,2500878,13896482,1318,11575
2019 - 2020,DIV,Franklin County Public Schools,6807.23,699,7721,8420,0,2954,2954,11374,12393444,77426367,699,10675
2019 - 2020,DIV,Frederick County Public Schools,13832.88,292,7786,8077,54,3953,4006,12084,61253116,167150317,346,11739
2019 - 2020,DIV,Fredericksburg City Public Schools,3680.45,470,8632,9102,366,3556,3923,13024,4168047,47935884,836,12188
2019 - 2020,DIV,Galax City Public Schools,1332.16,684,7032,7716,85,3014,3099,10815,2213590,14407393,769,10046
2019 - 2020,DIV,Giles County Public Schools,2370.88,454,6815,7269,186,2920,3106,10374,3695567,24596678,640,9735
2019 - 2020,DIV,Gloucester County Public Schools,5271.35,396,7163,7559,26,3703,3729,11288,5072969,59502142,422,10866
2019 - 2020,DIV,Goochland County Public Schools,2591.82,384,8085,8469,73,3735,3808,12277,1602916,31820502,457,11820
2019 - 2020,DIV,Grayson County Public Schools,1668,811,7070,7881,55,3355,3409,11290,3112767,18832148,866,10425
2019 - 2020,DIV,Greene County Public Schools,2964.42,364,7518,7883,105,3070,3175,11058,10715655,32780516,469,10588
2019 - 2020,DIV,Greensville County Public Schools,2198.17,1141,7396,8537,3,3313,3316,11854,2588513,26056460,1144,10709
2019 - 2020,DIV,Halifax County Public Schools,4828.49,646,6992,7638,73,3058,3131,10768,3116829,51994351,719,10050
2019 - 2020,DIV,Hampton City Public Schools,19527.23,615,7273,7888,4,2772,2775,10663,30045373,208219276,619,10045
2019 - 2020,DIV,Hanover County Public Schools,17437.52,285,7664,7949,54,2478,2532,10481,13281074,182759682,339,10142
2019 - 2020,DIV,Harrisonburg City Public Schools,6516.7,406,8005,8411,112,3473,3584,11996,20990429,78171531,518,11478
2019 - 2020,DIV,Henrico County Public Schools,51357.71,439,8256,8695,20,1581,1601,10296,163589185,528804460,459,9837
2019 - 2020,DIV,Henry County Public Schools,7352.91,655,5640,6295,71,3398,3470,9765,16262764,71798760,726,9038
2019 - 2020,DIV,Highland County Public Schools,214.55,0,12921,12921,0,5168,5168,18089,404132,3880928,0,18089
2019 - 2020,DIV,Hopewell City Public Schools,4165.48,749,7201,7951,406,3500,3905,11856,4585584,49386534,1155,10701
2019 - 2020,DIV,Isle of Wight County Public Schools,5590.69,209,6887,7096,151,3271,3422,10518,7639065,58803360,360,10158
2019 - 2020,DIV,King George County Public Schools,4467.7,283,6811,7095,0,2897,2897,9992,2513387,44640527,283,9708
2019 - 2020,DIV,King William County Public Schools,2175.73,299,7361,7660,53,3207,3259,10919,1956946,23757235,352,10568
2019 - 2020,DIV,King and Queen County Public Schools,807.27,698,8081,8779,0,4300,4300,13079,685661,10558268,698,12381
2019 - 2020,DIV,Lancaster County Public Schools,1067.32,676,9181,9858,7,4238,4245,14103,1678041,15052395,683,13419
2019 - 2020,DIV,Lee County Public Schools,3173.55,1065,6994,8059,462,3415,3877,11936,2648475,37879693,1527,10409
2019 - 2020,DIV,Lexington City Public Schools,495.83,355,7726,8081,63,3035,3097,11178,1722100,5542625,418,10761
2019 - 2020,DIV,Loudoun County Public Schools,83800.72,225,13711,13936,8,1796,1804,15740,170206483,1319010511,233,15507
2019 - 2020,DIV,Louisa County Public Schools,4946.8,507,8212,8718,137,2876,3013,11731,9361091,58031805,644,11088
2019 - 2020,DIV,Lunenburg County Public Schools,1579.32,645,7041,7686,88,2791,2879,10565,1592109,16685301,733,9832
2019 - 2020,DIV,Lynchburg City Public Schools,8143.37,774,7516,8290,138,3676,3814,12104,11451315,98567190,912,11192
2019 - 2020,DIV,Madison County Public Schools,1698.36,963,8452,9415,0,2374,2374,11789,2545285,20022279,963,10826
2019 - 2020,DIV,Manassas City Public Schools,7733.79,410,9597,10007,70,2670,2741,12748,16220386,98589139,480,12267
2019 - 2020,DIV,Manassas Park City Public Schools,3625.32,134,7787,7922,202,2608,2810,10732,3522936,38906463,336,10395
2019 - 2020,DIV,Martinsville City Public Schools,1910.62,750,7440,8190,118,3321,3438,11628,2212868,22217378,868,10761
2019 - 2020,DIV,Mathews County Public Schools,996.47,432,11130,11562,21,2805,2827,14389,2208278,14338190,453,13935
2019 - 2020,DIV,Mecklenburg County Public Schools,4148.03,636,7414,8050,90,6485,6576,14626,9378270,60668749,726,13899
2019 - 2020,DIV,Middlesex County Public Schools,1200.44,556,8248,8804,106,3748,3855,12659,3221467,15196594,662,11996
2019 - 2020,DIV,Montgomery County Public Schools,10019.76,385,7506,7891,56,3507,3562,11454,8935335,114762348,441,11013
2019 - 2020,DIV,Nelson County Public Schools,1684.27,552,10135,10688,103,3465,3569,14257,2204539,24011873,655,13600
2019 - 2020,DIV,New Kent County Public Schools,3324.5,244,6460,6704,66,2925,2990,9695,1915516,32229729,310,9385
2019 - 2020,DIV,Newport News City Public Schools,28382.3,602,7282,7884,171,3015,3185,11070,56852557,314178631,773,10297
2019 - 2020,DIV,Norfolk City Public Schools,29565.16,651,7299,7950,168,3314,3482,11433,40897701,338004607,819,10613
2019 - 2020,DIV,Northampton County Public Schools,1503.09,1009,7738,8747,96,3191,3288,12035,1998287,18089918,1105,10929
2019 - 2020,DIV,Northumberland County Public Schools,1289.71,635,7943,8578,9,4294,4303,12881,2123721,16612221,644,12237
2019 - 2020,DIV,Norton City Public Schools,809.2,0,7678,7678,0,1249,1249,8927,1992207,7223340,0,8927
2019 - 2020,DIV,Nottoway County Public Schools,1981.69,481,6355,6836,453,3525,3978,10814,2841241,21429051,934,9880
2019 - 2020,DIV,Orange County Public Schools,5040.94,406,6318,6724,377,3261,3638,10362,7970310,52235662,783,9579
2019 - 2020,DIV,Page County Public Schools,3340.3,593,7170,7763,70,2446,2516,10279,6453477,34336035,663,9616
2019 - 2020,DIV,Patrick County Public Schools,2506.78,633,6482,7115,0,3060,3060,10175,1526624,25506127,633,9542
2019 - 2020,DIV,Petersburg City Public Schools,4046.16,1451,7197,8649,346,3247,3593,12242,3522565,49533144,1797,10444
2019 - 2020,DIV,Pittsylvania County Public Schools,8637.36,546,6669,7215,132,2384,2517,9731,7906393,84052182,678,9053
2019 - 2020,DIV,Poquoson City Public Schools,2134.69,375,7256,7631,109,2813,2922,10553,1910819,22528177,484,10069
2019 - 2020,DIV,Portsmouth City Public Schools,13886.6,568,7528,8096,344,2830,3174,11270,17094412,156497285,912,10358
2019 - 2020,DIV,Powhatan County Public Schools,4296.81,253,7294,7548,29,3189,3218,10765,1718059,46257211,282,10483
2019 - 2020,DIV,Prince Edward County Public Schools,2028.48,862,7316,8178,0,2972,2972,11150,3171151,22618243,862,10288
2019 - 2020,DIV,Prince George County Public Schools,6266.77,527,6710,7237,410,2525,2935,10172,6516109,63745839,937,9235
2019 - 2020,DIV,Prince William County Public Schools,91825.83,157,7419,7576,282,3605,3887,11462,332583832,1052547490,439,11024
2019 - 2020,DIV,Pulaski County Public Schools,4124.1,556,6878,7435,21,3315,3336,10771,4593059,44419802,577,10193
2019 - 2020,DIV,Radford City Public Schools,1639.4,419,9078,9496,70,1586,1656,11152,1541395,18282232,489,10664
2019 - 2020,DIV,Rappahannock County Public Schools,775.08,476,10803,11279,133,4313,4447,15726,899576,12188885,609,15116
2019 - 2020,DIV,Richmond City Public Schools,24707.99,446,7942,8388,1015,4314,5328,13716,43506630,338906343,1461,12256
2019 - 2020,DIV,Richmond County Public Schools,1301.3,611,6473,7085,2,3313,3315,10399,2369375,13532697,613,9786
2019 - 2020,DIV,Roanoke City Public Schools,13845.9,817,7671,8488,58,3487,3545,12033,34063631,166610956,875,11158
2019 - 2020,DIV,Roanoke County Public Schools,13901.73,287,7741,8029,56,2583,2639,10667,45173239,148294119,343,10324
2019 - 2020,DIV,Rockbridge County Public Schools,2757.95,580,7650,8229,127,3682,3809,12038,5914533,33201009,707,11332
2019 - 2020,DIV,Rockingham County Public Schools,11855.67,364,7095,7459,49,3490,3539,10998,24418261,130390489,413,10585
2019 - 2020,DIV,Russell County Public Schools,3713.24,885,7050,7935,32,2441,2473,10407,6943691,38645465,917,9491
2019 - 2020,DIV,Salem City Public Schools,3912.89,358,7492,7850,8,2821,2829,10679,9193192,41786845,366,10313
2019 - 2020,DIV,Scott County Public Schools,3513.67,741,7844,8585,6,1474,1480,10066,4544166,35366981,747,9318
2019 - 2020,DIV,Shenandoah County Public Schools,5934.6,489,8039,8529,48,2959,3007,11536,6640820,68458723,537,10998
2019 - 2020,DIV,Smyth County Public Schools,4231.18,986,6752,7738,37,2449,2486,10224,8526373,43257859,1023,9201
2019 - 2020,DIV,Southampton County Public Schools,2749.9,376,6357,6733,132,3954,4085,10819,6899031,29750312,508,10311
2019 - 2020,DIV,Spotsylvania County Public Schools,23756.85,274,7104,7378,135,3352,3487,10865,65809838,258115853,409,10456
2019 - 2020,DIV,Stafford County Public Schools,30024.95,363,7079,7442,44,2803,2847,10288,34849994,308910541,407,9882
2019 - 2020,DIV,Staunton City Public Schools,2710.08,266,7421,7687,0,3508,3508,11195,43031284,30338750,266,10929
2019 - 2020,DIV,Suffolk City Public Schools,14317.15,429,6484,6913,80,3563,3643,10556,32656313,151129531,509,10047
2019 - 2020,DIV,Surry County Public Schools,709.76,891,12768,13659,84,7099,7183,20841,790147,14792387,975,19867
2019 - 2020,DIV,Sussex County Public Schools,1070.67,140,1716,1857,692,13788,14481,16337,1488312,17491970,832,15504
2019 - 2020,DIV,Tazewell County Public Schools,5565.48,579,5890,6469,109,2631,2740,9209,7013057,51252964,688,8521
2019 - 2020,DIV,Virginia Beach City Public Schools,68451.72,634,10768,11402,0,0,0,11402,129891010,780472859,634,10768
2019 - 2020,DIV,Warren County Public Schools,5354.78,340,7877,8217,0,2406,2406,10623,5025379,56883902,340,10283
2019 - 2020,DIV,Washington County Public Schools,6995.56,559,8109,8668,34,1751,1785,10453,7868105,73124658,593,9860
2019 - 2020,DIV,Waynesboro City Public Schools,2926.21,528,7446,7974,184,3091,3275,11249,5004061,32916458,712,10537
2019 - 2020,DIV,West Point Public Schools,805.49,380,9430,9809,0,2941,2941,12750,672986,10270345,380,12371
2019 - 2020,DIV,Westmoreland County Public Schools,1572.76,822,9735,10556,63,3278,3342,13898,2582367,21857999,885,13013
2019 - 2020,DIV,Williamsburg-James City County Public Schools,11591.44,255,7801,8055,79,3898,3978,12033,8770866,139478068,334,11699
2019 - 2020,DIV,Winchester City Public Schools,4363.82,478,9029,9506,226,3291,3517,13023,9014382,56830535,704,12320
2019 - 2020,DIV,Wise County Public Schools,5591.58,521,6303,6824,89,2951,3040,9864,8712383,55155174,610,9254
2019 - 2020,DIV,Wythe County Public Schools,3978.72,439,6789,7228,0,3089,3089,10317,9910084,41046700,439,9878
2019 - 2020,DIV,York County Public Schools,13035.43,312,7142,7454,3,2845,2847,10301,30437092,134281522,315,9987